county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
'Napa County ',2020-05-18,97,53,18,12,0,?,?,?,?,?,?,?,?
'Nevada County ',2020-05-18,70,10,0,0,0,?,?,?,?,?,?,?,?
'Orange County',2020-05-18,666,290,78,78,0,?,?,?,?,?,?,?,?
'Placer County',2020-05-18,73,34,12,12,0,?,?,?,?,?,?,?,?
'Plumas County',2020-05-18,10,10,0,0,0,?,?,?,?,?,?,?,?
'Riverside County',2020-05-18,302,302,15,15,0,?,?,?,?,?,?,?,?
'Sacramento County',2020-05-18,423,322,63,63,0,?,?,?,?,?,?,?,?
'San Benito County',2020-05-18,67,49,3,3,0,?,?,?,?,?,?,?,?
'San Bernardino County',2020-05-18,50,37,20,0,20,?,?,?,?,?,?,?,?
'San Diego County',2020-05-18,2029,409,44,44,0,?,?,?,?,?,?,?,?
'San Francisco',2020-05-18,2678,982,91,91,0,?,?,?,?,?,?,?,?
'San Joaquin County',2020-05-18,76,38,8,8,0,?,?,?,?,?,?,?,?
'San Luis Obispo County',2020-05-18,155,0,14,14,0,?,?,?,?,?,?,?,?
'San Mateo County',2020-05-18,160,160,0,0,0,?,?,?,?,?,?,?,?
'Santa Barbara County',2020-05-18,136,110,0,0,0,?,?,?,?,?,?,?,?
'Santa Clara County',2020-05-18,689,380,105,105,0,?,?,?,?,?,?,?,?
'Santa Cruz County',2020-05-18,118,69,35,0,0,?,?,?,?,?,?,?,?
'Shasta County',2020-05-18,29,20,0,0,0,?,?,?,?,?,?,?,?
'Sierra County',2020-05-18,0,0,0,0,0,?,?,?,?,?,?,?,?
'Siskiyou County',2020-05-18,0,0,6,6,0,?,?,?,?,?,?,?,?
'Solano County',2020-05-18,238,25,0,0,0,?,?,?,?,?,?,?,?
'Sonoma County',2020-05-18,157,52,0,0,0,?,?,?,?,?,?,?,?
'Stanislaus County',2020-05-18,121,85,0,0,0,?,?,?,?,?,?,?,?
'Sutter County',2020-05-18,19,19,5,5,0,?,?,?,?,?,?,?,?
'Tehama County',2020-05-18,0,0,5,5,0,?,?,?,?,?,?,?,?
'Trinity County',2020-05-18,10,0,0,0,0,?,?,?,?,?,?,?,?
'Tulare County',2020-05-18,113,24,0,0,0,?,?,?,?,?,?,?,?
'Tuolumne County',2020-05-18,50,8,0,0,0,?,?,?,?,?,?,?,?
'Ventura County',2020-05-18,388,317,0,0,0,?,?,?,?,?,?,?,?
'Yolo County',2020-05-18,246,232,0,0,0,?,?,?,?,?,?,?,?
'Yuba County',2020-05-18,28,20,5,5,0,?,?,?,?,?,?,?,?
'Wilton Rancheria Tribe',2020-05-18,0,0,10,10,0,?,?,?,?,?,?,?,?
'Bishop Paiute Tribal Council',2020-05-18,0,0,5,5,0,?,?,?,?,?,?,?,?
'Alameda County',2020-05-19,533,357,91,91,0,?,?,?,?,?,?,?,?
'Alpine County',2020-05-19,0,0,0,0,0,?,?,?,?,?,?,?,?
'Amador County',2020-05-19,0,0,0,0,0,?,?,?,?,?,?,?,?
'Butte County',2020-05-19,117,117,0,0,0,?,?,?,?,?,?,?,?
'Calaveras County',2020-05-19,73,25,0,0,0,?,?,?,?,?,?,?,?
'Colusa County',2020-05-19,0,0,0,0,0,?,?,?,?,?,?,?,?
'Contra Costa County',2020-05-19,574,324,0,0,0,?,?,?,?,?,?,?,?
'Del Norte County',2020-05-19,20,6,0,0,0,?,?,?,?,?,?,?,?
'El Dorado County',2020-05-19,26,15,0,0,0,?,?,?,?,?,?,?,?
'Fresno County',2020-05-19,305,250,28,28,0,?,?,?,?,?,?,?,?
'Glenn County',2020-05-19,1,1,0,0,0,?,?,?,?,?,?,?,?
'Humboldt County',2020-05-19,74,51,15,7,0,?,?,?,?,?,?,?,?
'Imperial County',2020-05-19,132,132,37,10,0,?,?,?,?,?,?,?,?
'Inyo County',2020-05-19,10,1,0,0,0,?,?,?,?,?,?,?,?
'Kern County',2020-05-19,1,1,15,15,0,?,?,?,?,?,?,?,?
'Kings County',2020-05-19,41,39,0,0,0,?,?,?,?,?,?,?,?
'Lake County',2020-05-19,15,8,0,0,0,?,?,?,?,?,?,?,?
'Lassen County',2020-05-19,4,4,0,0,0,?,?,?,?,?,?,?,?
'Los Angeles County',2020-05-19,4056,2359,651,651,0,?,?,?,?,?,?,?,?
'Madera County ',2020-05-19,24,21,0,0,0,?,?,?,?,?,?,?,?
'Marin County ',2020-05-19,191,111,44,7,0,?,?,?,?,?,?,?,?
'Mariposa County',2020-05-19,44,15,0,0,0,?,?,?,?,?,?,?,?
'Mendocino County',2020-05-19,185,145,0,0,0,?,?,?,?,?,?,?,?
'Merced County',2020-05-19,112,74,0,0,0,?,?,?,?,?,?,?,?
'Modoc County',2020-05-19,5,1,0,0,0,?,?,?,?,?,?,?,?
'Mono County',2020-05-19,5,1,0,0,0,?,?,?,?,?,?,?,?
'Monterey County',2020-05-19,142,28,108,15,8,?,?,?,?,?,?,?,?
'Napa County ',2020-05-19,97,53,18,12,0,?,?,?,?,?,?,?,?
'Nevada County ',2020-05-19,70,10,0,0,0,?,?,?,?,?,?,?,?
'Orange County',2020-05-19,666,299,78,78,0,?,?,?,?,?,?,?,?
'Placer County',2020-05-19,73,37,12,12,0,?,?,?,?,?,?,?,?
'Plumas County',2020-05-19,10,10,0,0,0,?,?,?,?,?,?,?,?
'Riverside County',2020-05-19,307,307,15,15,0,?,?,?,?,?,?,?,?
'Sacramento County',2020-05-19,423,329,63,63,0,?,?,?,?,?,?,?,?
'San Benito County',2020-05-19,67,52,3,3,0,?,?,?,?,?,?,?,?
'San Bernardino County',2020-05-19,50,37,20,0,20,?,?,?,?,?,?,?,?
'San Diego County',2020-05-19,2029,197,44,44,0,?,?,?,?,?,?,?,?
'San Francisco',2020-05-19,2678,988,91,91,0,?,?,?,?,?,?,?,?
'San Joaquin County',2020-05-19,76,42,8,8,0,?,?,?,?,?,?,?,?
'San Luis Obispo County',2020-05-19,155,0,14,14,0,?,?,?,?,?,?,?,?
'San Mateo County',2020-05-19,161,161,0,0,0,?,?,?,?,?,?,?,?
'Santa Barbara County',2020-05-19,142,118,0,0,0,?,?,?,?,?,?,?,?
'Santa Clara County',2020-05-19,689,416,105,105,0,?,?,?,?,?,?,?,?
'Santa Cruz County',2020-05-19,118,70,35,0,5,?,?,?,?,?,?,?,?
'Shasta County',2020-05-19,29,20,0,0,0,?,?,?,?,?,?,?,?
'Sierra County',2020-05-19,0,0,0,0,0,?,?,?,?,?,?,?,?
'Siskiyou County',2020-05-19,0,0,6,6,0,?,?,?,?,?,?,?,?
'Solano County',2020-05-19,238,25,0,0,0,?,?,?,?,?,?,?,?
'Sonoma County',2020-05-19,157,52,0,0,0,?,?,?,?,?,?,?,?
'Stanislaus County',2020-05-19,121,85,0,0,0,?,?,?,?,?,?,?,?
'Sutter County',2020-05-19,19,19,5,5,0,?,?,?,?,?,?,?,?
'Tehama County',2020-05-19,0,0,5,5,0,?,?,?,?,?,?,?,?
'Trinity County',2020-05-19,10,0,0,0,0,?,?,?,?,?,?,?,?
'Tulare County',2020-05-19,113,29,0,0,0,?,?,?,?,?,?,?,?
'Tuolumne County',2020-05-19,50,8,0,0,0,?,?,?,?,?,?,?,?
'Ventura County',2020-05-19,388,319,0,0,0,?,?,?,?,?,?,?,?
'Yolo County',2020-05-19,246,232,0,0,0,?,?,?,?,?,?,?,?
'Yuba County',2020-05-19,37,20,5,5,0,?,?,?,?,?,?,?,?
'Wilton Rancheria Tribe',2020-05-19,0,0,10,10,0,?,?,?,?,?,?,?,?
'Bishop Paiute Tribal Council',2020-05-19,0,0,5,5,0,?,?,?,?,?,?,?,?
'Alameda County',2020-05-20,533,357,91,91,0,?,?,?,?,?,?,?,?
'Alpine County',2020-05-20,0,0,0,0,0,?,?,?,?,?,?,?,?
'Amador County',2020-05-20,0,0,0,0,0,?,?,?,?,?,?,?,?
'Butte County',2020-05-20,118,118,0,0,0,?,?,?,?,?,?,?,?
'Calaveras County',2020-05-20,73,23,0,0,0,?,?,?,?,?,?,?,?
'Colusa County',2020-05-20,0,0,0,0,0,?,?,?,?,?,?,?,?
'Contra Costa County',2020-05-20,574,335,0,0,0,?,?,?,?,?,?,?,?
'Del Norte County',2020-05-20,20,6,0,0,0,?,?,?,?,?,?,?,?
'El Dorado County',2020-05-20,26,15,0,0,0,?,?,?,?,?,?,?,?
'Fresno County',2020-05-20,305,250,28,28,0,?,?,?,?,?,?,?,?
'Glenn County',2020-05-20,1,1,0,0,0,?,?,?,?,?,?,?,?
'Humboldt County',2020-05-20,74,51,15,7,0,?,?,?,?,?,?,?,?
'Imperial County',2020-05-20,132,132,37,10,0,?,?,?,?,?,?,?,?
'Inyo County',2020-05-20,10,1,0,0,0,?,?,?,?,?,?,?,?
'Kern County',2020-05-20,1,1,15,15,0,?,?,?,?,?,?,?,?
'Kings County',2020-05-20,41,39,0,0,0,?,?,?,?,?,?,?,?
'Lake County',2020-05-20,15,9,0,0,0,?,?,?,?,?,?,?,?
'Lassen County',2020-05-20,4,4,0,0,0,?,?,?,?,?,?,?,?
'Los Angeles County',2020-05-20,4233,2352,651,651,0,?,?,?,?,?,?,?,?
'Madera County ',2020-05-20,24,21,0,0,0,?,?,?,?,?,?,?,?
'Marin County ',2020-05-20,191,112,44,7,0,?,?,?,?,?,?,?,?
'Mariposa County',2020-05-20,44,16,0,0,0,?,?,?,?,?,?,?,?
'Mendocino County',2020-05-20,187,148,0,0,0,?,?,?,?,?,?,?,?
'Merced County',2020-05-20,112,74,0,0,0,?,?,?,?,?,?,?,?
'Modoc County',2020-05-20,5,1,0,0,0,?,?,?,?,?,?,?,?
'Mono County',2020-05-20,5,1,0,0,0,?,?,?,?,?,?,?,?
'Monterey County',2020-05-20,142,28,108,15,8,?,?,?,?,?,?,?,?
'Napa County ',2020-05-20,97,53,18,12,0,?,?,?,?,?,?,?,?
'Nevada County ',2020-05-20,70,10,0,0,0,?,?,?,?,?,?,?,?
'Orange County',2020-05-20,666,315,78,78,0,?,?,?,?,?,?,?,?
'Placer County',2020-05-20,73,40,12,12,0,?,?,?,?,?,?,?,?
'Plumas County',2020-05-20,10,10,0,0,0,?,?,?,?,?,?,?,?
'Riverside County',2020-05-20,316,316,15,15,0,?,?,?,?,?,?,?,?
'Sacramento County',2020-05-20,423,338,63,63,0,?,?,?,?,?,?,?,?
'San Benito County',2020-05-20,67,56,3,3,0,?,?,?,?,?,?,?,?
'San Bernardino County',2020-05-20,50,37,20,0,20,?,?,?,?,?,?,?,?
'San Diego County',2020-05-20,1674,295,44,44,0,?,?,?,?,?,?,?,?
'San Francisco',2020-05-20,2678,999,91,91,0,?,?,?,?,?,?,?,?
'San Joaquin County',2020-05-20,76,42,8,8,0,?,?,?,?,?,?,?,?
'San Luis Obispo County',2020-05-20,155,0,14,14,0,?,?,?,?,?,?,?,?
'San Mateo County',2020-05-20,162,162,0,0,0,?,?,?,?,?,?,?,?
'Santa Barbara County',2020-05-20,143,119,0,0,0,?,?,?,?,?,?,?,?
'Santa Clara County',2020-05-20,689,433,105,105,0,?,?,?,?,?,?,?,?
'Santa Cruz County',2020-05-20,118,71,35,0,5,?,?,?,?,?,?,?,?
'Shasta County',2020-05-20,29,20,0,0,0,?,?,?,?,?,?,?,?
'Sierra County',2020-05-20,0,0,0,0,0,?,?,?,?,?,?,?,?
'Siskiyou County',2020-05-20,0,0,6,6,0,?,?,?,?,?,?,?,?
'Solano County',2020-05-20,238,29,0,0,0,?,?,?,?,?,?,?,?
'Sonoma County',2020-05-20,157,52,0,0,0,?,?,?,?,?,?,?,?
'Stanislaus County',2020-05-20,121,90,0,0,0,?,?,?,?,?,?,?,?
'Sutter County',2020-05-20,19,19,5,5,0,?,?,?,?,?,?,?,?
'Tehama County',2020-05-20,0,0,5,5,0,?,?,?,?,?,?,?,?
'Trinity County',2020-05-20,10,0,0,0,0,?,?,?,?,?,?,?,?
'Tulare County',2020-05-20,113,29,0,0,0,?,?,?,?,?,?,?,?
'Tuolumne County',2020-05-20,50,8,0,0,0,?,?,?,?,?,?,?,?
'Ventura County',2020-05-20,388,320,0,0,0,?,?,?,?,?,?,?,?
'Yolo County',2020-05-20,246,232,0,0,0,?,?,?,?,?,?,?,?
'Yuba County',2020-05-20,33,20,5,5,0,?,?,?,?,?,?,?,?
'Wilton Rancheria Tribe',2020-05-20,0,0,10,10,0,?,?,?,?,?,?,?,?
'Bishop Paiute Tribal Council',2020-05-20,0,0,5,5,0,?,?,?,?,?,?,?,?
'Alameda County',2020-05-21,533,412,91,91,0,?,?,?,?,?,?,?,?
'Alpine County',2020-05-21,0,0,0,0,0,?,?,?,?,?,?,?,?
'Amador County',2020-05-21,0,0,0,0,0,?,?,?,?,?,?,?,?
'Butte County',2020-05-21,118,118,0,0,0,?,?,?,?,?,?,?,?
'Calaveras County',2020-05-21,73,23,0,0,0,?,?,?,?,?,?,?,?
'Colusa County',2020-05-21,0,0,0,0,0,?,?,?,?,?,?,?,?
'Contra Costa County',2020-05-21,568,350,0,0,0,?,?,?,?,?,?,?,?
'Del Norte County',2020-05-21,20,6,0,0,0,?,?,?,?,?,?,?,?
'El Dorado County',2020-05-21,26,14,0,0,0,?,?,?,?,?,?,?,?
'Fresno County',2020-05-21,305,250,28,28,0,?,?,?,?,?,?,?,?
'Glenn County',2020-05-21,1,1,0,0,0,?,?,?,?,?,?,?,?
'Humboldt County',2020-05-21,74,49,15,7,0,?,?,?,?,?,?,?,?
'Imperial County',2020-05-21,132,132,37,10,0,?,?,?,?,?,?,?,?
'Inyo County',2020-05-21,10,1,0,0,0,?,?,?,?,?,?,?,?
'Kern County',2020-05-21,1,1,15,15,0,?,?,?,?,?,?,?,?
'Kings County',2020-05-21,41,36,0,0,0,?,?,?,?,?,?,?,?
'Lake County',2020-05-21,15,9,0,0,0,?,?,?,?,?,?,?,?
'Lassen County',2020-05-21,4,4,0,0,0,?,?,?,?,?,?,?,?
'Los Angeles County',2020-05-21,4233,2463,651,651,0,?,?,?,?,?,?,?,?
'Madera County ',2020-05-21,24,21,0,0,0,?,?,?,?,?,?,?,?
'Marin County ',2020-05-21,191,111,44,7,0,?,?,?,?,?,?,?,?
'Mariposa County',2020-05-21,44,15,0,0,0,?,?,?,?,?,?,?,?
'Mendocino County',2020-05-21,189,150,0,0,0,?,?,?,?,?,?,?,?
'Merced County',2020-05-21,112,74,0,0,0,?,?,?,?,?,?,?,?
'Modoc County',2020-05-21,5,1,0,0,0,?,?,?,?,?,?,?,?
'Mono County',2020-05-21,5,1,0,0,0,?,?,?,?,?,?,?,?
'Monterey County',2020-05-21,142,98,108,15,8,?,?,?,?,?,?,?,?
'Napa County ',2020-05-21,97,50,18,12,0,?,?,?,?,?,?,?,?
'Nevada County ',2020-05-21,70,10,0,0,0,?,?,?,?,?,?,?,?
'Orange County',2020-05-21,666,340,78,78,0,?,?,?,?,?,?,?,?
'Placer County',2020-05-21,73,40,12,12,0,?,?,?,?,?,?,?,?
'Plumas County',2020-05-21,10,10,0,0,0,?,?,?,?,?,?,?,?
'Riverside County',2020-05-21,314,314,15,15,0,?,?,?,?,?,?,?,?
'Sacramento County',2020-05-21,423,355,63,63,0,?,?,?,?,?,?,?,?
'San Benito County',2020-05-21,67,51,3,3,0,?,?,?,?,?,?,?,?
'San Bernardino County',2020-05-21,50,37,20,0,20,?,?,?,?,?,?,?,?
'San Diego County',2020-05-21,1617,288,44,44,0,?,?,?,?,?,?,?,?
'San Francisco',2020-05-21,2678,1011,91,91,0,?,?,?,?,?,?,?,?
'San Joaquin County',2020-05-21,76,44,8,8,0,?,?,?,?,?,?,?,?
'San Luis Obispo County',2020-05-21,155,0,14,14,0,?,?,?,?,?,?,?,?
'San Mateo County',2020-05-21,163,163,0,0,0,?,?,?,?,?,?,?,?
'Santa Barbara County',2020-05-21,144,119,0,0,0,?,?,?,?,?,?,?,?
'Santa Clara County',2020-05-21,689,433,105,105,0,?,?,?,?,?,?,?,?
'Santa Cruz County',2020-05-21,118,77,35,0,5,?,?,?,?,?,?,?,?
'Shasta County',2020-05-21,30,25,0,0,0,?,?,?,?,?,?,?,?
'Sierra County',2020-05-21,0,0,0,0,0,?,?,?,?,?,?,?,?
'Siskiyou County',2020-05-21,0,0,6,6,0,?,?,?,?,?,?,?,?
'Solano County',2020-05-21,238,36,0,0,0,?,?,?,?,?,?,?,?
'Sonoma County',2020-05-21,157,82,0,0,0,?,?,?,?,?,?,?,?
'Stanislaus County',2020-05-21,121,93,0,0,0,?,?,?,?,?,?,?,?
'Sutter County',2020-05-21,19,19,5,5,0,?,?,?,?,?,?,?,?
'Tehama County',2020-05-21,0,0,5,5,0,?,?,?,?,?,?,?,?
'Trinity County',2020-05-21,10,0,0,0,0,?,?,?,?,?,?,?,?
'Tulare County',2020-05-21,113,36,0,0,0,?,?,?,?,?,?,?,?
'Tuolumne County',2020-05-21,50,8,0,0,0,?,?,?,?,?,?,?,?
'Ventura County',2020-05-21,388,326,0,0,0,?,?,?,?,?,?,?,?
'Yolo County',2020-05-21,246,230,0,0,0,?,?,?,?,?,?,?,?
'Yuba County',2020-05-21,33,20,5,5,0,?,?,?,?,?,?,?,?
'Wilton Rancheria Tribe',2020-05-21,0,0,10,10,0,?,?,?,?,?,?,?,?
'Bishop Paiute Tribal Council',2020-05-21,0,0,5,5,0,?,?,?,?,?,?,?,?
'Alameda County',2020-05-22,533,412,91,91,0,?,?,?,?,?,?,?,?
'Alpine County',2020-05-22,0,0,0,0,0,?,?,?,?,?,?,?,?
'Amador County',2020-05-22,0,0,0,0,0,?,?,?,?,?,?,?,?
'Butte County',2020-05-22,111,111,0,0,0,?,?,?,?,?,?,?,?
'Calaveras County',2020-05-22,73,23,0,0,0,?,?,?,?,?,?,?,?
'Colusa County',2020-05-22,0,0,0,0,0,?,?,?,?,?,?,?,?
'Contra Costa County',2020-05-22,568,361,0,0,0,?,?,?,?,?,?,?,?
'Del Norte County',2020-05-22,20,6,0,0,0,?,?,?,?,?,?,?,?
'El Dorado County',2020-05-22,26,13,0,0,0,?,?,?,?,?,?,?,?
'Fresno County',2020-05-22,305,250,28,28,0,?,?,?,?,?,?,?,?
'Glenn County',2020-05-22,1,1,0,0,0,?,?,?,?,?,?,?,?
'Humboldt County',2020-05-22,74,51,15,7,0,?,?,?,?,?,?,?,?
'Imperial County',2020-05-22,132,132,37,10,0,?,?,?,?,?,?,?,?
'Inyo County',2020-05-22,10,1,0,0,0,?,?,?,?,?,?,?,?
'Kern County',2020-05-22,1,1,15,15,0,?,?,?,?,?,?,?,?
'Kings County',2020-05-22,41,39,0,0,0,?,?,?,?,?,?,?,?
'Lake County',2020-05-22,15,9,0,0,0,?,?,?,?,?,?,?,?
'Lassen County',2020-05-22,4,4,0,0,0,?,?,?,?,?,?,?,?
'Los Angeles County',2020-05-22,4233,2554,651,651,0,?,?,?,?,?,?,?,?
'Madera County ',2020-05-22,17,17,0,0,0,?,?,?,?,?,?,?,?
'Marin County ',2020-05-22,191,115,44,7,0,?,?,?,?,?,?,?,?
'Mariposa County',2020-05-22,44,15,0,0,0,?,?,?,?,?,?,?,?
'Mendocino County',2020-05-22,189,150,0,0,0,?,?,?,?,?,?,?,?
'Merced County',2020-05-22,112,74,0,0,0,?,?,?,?,?,?,?,?
'Modoc County',2020-05-22,5,1,0,0,0,?,?,?,?,?,?,?,?
'Mono County',2020-05-22,5,1,0,0,0,?,?,?,?,?,?,?,?
'Monterey County',2020-05-22,142,98,108,15,8,?,?,?,?,?,?,?,?
'Napa County ',2020-05-22,97,50,18,12,0,?,?,?,?,?,?,?,?
'Nevada County ',2020-05-22,70,10,0,0,0,?,?,?,?,?,?,?,?
'Orange County',2020-05-22,666,356,78,78,0,?,?,?,?,?,?,?,?
'Placer County',2020-05-22,73,40,12,12,0,?,?,?,?,?,?,?,?
'Plumas County',2020-05-22,10,10,0,0,0,?,?,?,?,?,?,?,?
'Riverside County',2020-05-22,330,330,15,15,0,?,?,?,?,?,?,?,?
'Sacramento County',2020-05-22,423,355,63,63,0,?,?,?,?,?,?,?,?
'San Benito County',2020-05-22,67,39,3,3,0,?,?,?,?,?,?,?,?
'San Bernardino County',2020-05-22,50,37,20,0,20,?,?,?,?,?,?,?,?
'San Diego County',2020-05-22,1617,277,44,44,0,?,?,?,?,?,?,?,?
'San Francisco',2020-05-22,2678,1035,91,91,0,?,?,?,?,?,?,?,?
'San Joaquin County',2020-05-22,76,49,8,8,0,?,?,?,?,?,?,?,?
'San Luis Obispo County',2020-05-22,155,0,14,14,0,?,?,?,?,?,?,?,?
'San Mateo County',2020-05-22,163,163,0,0,0,?,?,?,?,?,?,?,?
'Santa Barbara County',2020-05-22,143,120,0,0,0,?,?,?,?,?,?,?,?
'Santa Clara County',2020-05-22,689,435,105,105,0,?,?,?,?,?,?,?,?
'Santa Cruz County',2020-05-22,118,83,35,0,5,?,?,?,?,?,?,?,?
'Shasta County',2020-05-22,30,25,0,0,0,?,?,?,?,?,?,?,?
'Sierra County',2020-05-22,0,0,0,0,0,?,?,?,?,?,?,?,?
'Siskiyou County',2020-05-22,0,0,6,6,0,?,?,?,?,?,?,?,?
'Solano County',2020-05-22,238,37,0,0,0,?,?,?,?,?,?,?,?
'Sonoma County',2020-05-22,157,82,0,0,0,?,?,?,?,?,?,?,?
'Stanislaus County',2020-05-22,121,93,0,0,0,?,?,?,?,?,?,?,?
'Sutter County',2020-05-22,19,19,5,5,0,?,?,?,?,?,?,?,?
'Tehama County',2020-05-22,0,0,5,5,0,?,?,?,?,?,?,?,?
'Trinity County',2020-05-22,10,0,0,0,0,?,?,?,?,?,?,?,?
'Tulare County',2020-05-22,113,44,0,0,0,?,?,?,?,?,?,?,?
'Tuolumne County',2020-05-22,50,8,0,0,0,?,?,?,?,?,?,?,?
'Ventura County',2020-05-22,388,328,0,0,0,?,?,?,?,?,?,?,?
'Yolo County',2020-05-22,245,227,0,0,0,?,?,?,?,?,?,?,?
'Yuba County',2020-05-22,31,18,5,5,0,?,?,?,?,?,?,?,?
'Wilton Rancheria Tribe',2020-05-22,0,0,10,10,0,?,?,?,?,?,?,?,?
'Bishop Paiute Tribal Council',2020-05-22,0,0,5,5,0,?,?,?,?,?,?,?,?
'Alameda County',2020-05-23,533,432,91,91,0,?,?,?,?,?,?,?,?
'Alpine County',2020-05-23,0,0,0,0,0,?,?,?,?,?,?,?,?
'Amador County',2020-05-23,0,0,0,0,0,?,?,?,?,?,?,?,?
'Butte County',2020-05-23,111,111,0,0,0,?,?,?,?,?,?,?,?
'Calaveras County',2020-05-23,73,23,0,0,0,?,?,?,?,?,?,?,?
'Colusa County',2020-05-23,0,0,0,0,0,?,?,?,?,?,?,?,?
'Contra Costa County',2020-05-23,568,369,0,0,0,?,?,?,?,?,?,?,?
'Del Norte County',2020-05-23,20,9,0,0,0,?,?,?,?,?,?,?,?
'El Dorado County',2020-05-23,26,13,0,0,0,?,?,?,?,?,?,?,?
'Fresno County',2020-05-23,305,250,28,28,0,?,?,?,?,?,?,?,?
'Glenn County',2020-05-23,1,1,0,0,0,?,?,?,?,?,?,?,?
'Humboldt County',2020-05-23,74,51,15,7,0,?,?,?,?,?,?,?,?
'Imperial County',2020-05-23,132,132,37,10,0,?,?,?,?,?,?,?,?
'Inyo County',2020-05-23,10,1,0,0,0,?,?,?,?,?,?,?,?
'Kern County',2020-05-23,1,1,15,15,0,?,?,?,?,?,?,?,?
'Kings County',2020-05-23,41,39,0,0,0,?,?,?,?,?,?,?,?
'Lake County',2020-05-23,15,9,0,0,0,?,?,?,?,?,?,?,?
'Lassen County',2020-05-23,4,4,0,0,0,?,?,?,?,?,?,?,?
'Los Angeles County',2020-05-23,4233,2712,651,651,0,?,?,?,?,?,?,?,?
'Madera County ',2020-05-23,17,17,0,0,0,?,?,?,?,?,?,?,?
'Marin County ',2020-05-23,191,115,44,7,0,?,?,?,?,?,?,?,?
'Mariposa County',2020-05-23,44,15,0,0,0,?,?,?,?,?,?,?,?
'Mendocino County',2020-05-23,189,150,0,0,0,?,?,?,?,?,?,?,?
'Merced County',2020-05-23,112,74,0,0,0,?,?,?,?,?,?,?,?
'Modoc County',2020-05-23,5,1,0,0,0,?,?,?,?,?,?,?,?
'Mono County',2020-05-23,5,1,0,0,0,?,?,?,?,?,?,?,?
'Monterey County',2020-05-23,142,98,108,15,8,?,?,?,?,?,?,?,?
'Napa County ',2020-05-23,97,50,18,12,0,?,?,?,?,?,?,?,?
'Nevada County ',2020-05-23,70,10,0,0,0,?,?,?,?,?,?,?,?
'Orange County',2020-05-23,666,356,78,78,0,?,?,?,?,?,?,?,?
'Placer County',2020-05-23,73,44,12,12,0,?,?,?,?,?,?,?,?
'Plumas County',2020-05-23,10,10,0,0,0,?,?,?,?,?,?,?,?
'Riverside County',2020-05-23,330,330,15,15,0,?,?,?,?,?,?,?,?
'Sacramento County',2020-05-23,423,385,63,63,0,?,?,?,?,?,?,?,?
'San Benito County',2020-05-23,67,39,3,3,0,?,?,?,?,?,?,?,?
'San Bernardino County',2020-05-23,50,37,20,0,20,?,?,?,?,?,?,?,?
'San Diego County',2020-05-23,1617,279,44,44,0,?,?,?,?,?,?,?,?
'San Francisco',2020-05-23,2678,1046,91,91,0,?,?,?,?,?,?,?,?
'San Joaquin County',2020-05-23,76,50,8,8,0,?,?,?,?,?,?,?,?
'San Luis Obispo County',2020-05-23,155,0,14,14,0,?,?,?,?,?,?,?,?
'San Mateo County',2020-05-23,163,163,0,0,0,?,?,?,?,?,?,?,?
'Santa Barbara County',2020-05-23,146,123,0,0,0,?,?,?,?,?,?,?,?
'Santa Clara County',2020-05-23,689,439,105,105,0,?,?,?,?,?,?,?,?
'Santa Cruz County',2020-05-23,118,89,35,0,5,?,?,?,?,?,?,?,?
'Shasta County',2020-05-23,30,25,0,0,0,?,?,?,?,?,?,?,?
'Sierra County',2020-05-23,0,0,0,0,0,?,?,?,?,?,?,?,?
'Siskiyou County',2020-05-23,0,0,6,6,0,?,?,?,?,?,?,?,?
'Solano County',2020-05-23,238,37,0,0,0,?,?,?,?,?,?,?,?
'Sonoma County',2020-05-23,157,82,0,0,0,?,?,?,?,?,?,?,?
'Stanislaus County',2020-05-23,121,97,0,0,0,?,?,?,?,?,?,?,?
'Sutter County',2020-05-23,19,19,5,5,0,?,?,?,?,?,?,?,?
'Tehama County',2020-05-23,0,0,5,5,0,?,?,?,?,?,?,?,?
'Trinity County',2020-05-23,10,0,0,0,0,?,?,?,?,?,?,?,?
'Tulare County',2020-05-23,113,44,0,0,0,?,?,?,?,?,?,?,?
'Tuolumne County',2020-05-23,50,8,0,0,0,?,?,?,?,?,?,?,?
'Ventura County',2020-05-23,388,328,0,0,0,?,?,?,?,?,?,?,?
'Yolo County',2020-05-23,245,227,0,0,0,?,?,?,?,?,?,?,?
'Yuba County',2020-05-23,33,18,5,5,0,?,?,?,?,?,?,?,?
'Wilton Rancheria Tribe',2020-05-23,0,0,10,10,0,?,?,?,?,?,?,?,?
'Bishop Paiute Tribal Council',2020-05-23,0,0,5,5,0,?,?,?,?,?,?,?,?
'Alameda County',2020-05-24,533,432,91,91,0,?,?,?,?,?,?,?,?
'Alpine County',2020-05-24,0,0,0,0,0,?,?,?,?,?,?,?,?
'Amador County',2020-05-24,0,0,0,0,0,?,?,?,?,?,?,?,?
'Butte County',2020-05-24,111,111,0,0,0,?,?,?,?,?,?,?,?
'Calaveras County',2020-05-24,73,23,0,0,0,?,?,?,?,?,?,?,?
'Colusa County',2020-05-24,0,0,0,0,0,?,?,?,?,?,?,?,?
